Strain_Name,Genotype,Identifier,Source,PreUV_Quiescence_Fraction,PostUV_Quiescence_Fraction,SKAT_Rank_Percentile
VC2149,T12G3.1(ok2869) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00037114#03--10,Caenorhabditis Genetics Center,0.049268018018018,0.608535879629629,3.3
VC2196,T12G3.1(ok2892) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00037157#03--10,Caenorhabditis Genetics Center,0.0563857398462529,0.664565527065527,3.3
VC2245,ZK1236.1(ok3023) III.,https://wormbase.org/species/c_elegans/strain/WBStrain00037198#03--10,Caenorhabditis Genetics Center,0.0668792954027853,0.480462962962963,0.42
VC2300,F16B12.6(gk1118) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00037238#03--10,Caenorhabditis Genetics Center,0.0725225225225225,0.58412037037037,13.27
VC2559,sti-1(ok3354) V.,https://wormbase.org/species/c_elegans/strain/WBStrain00037408#03--10,Caenorhabditis Genetics Center,0.155620805369128,0.683463541666667,0.18
VC2725,gei-1(gk3062) III; C25A8.5(gk1224) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00037511#03--10,Caenorhabditis Genetics Center,0.180495005535505,0.634458812260536,32.97
VC3112,C41A3.1(ok3769) X.,https://wormbase.org/species/c_elegans/strain/WBStrain00037677#03--10,Caenorhabditis Genetics Center,0.00713087248322148,0.600260416666667,16.91
VC320,nrfl-1(ok297) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035676#03--10,Caenorhabditis Genetics Center,0.348799296785874,0.631185699588477,18.39
VC356,tag-77(gk206) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035705#03--10,Caenorhabditis Genetics Center,0.0587318087318087,0.560897435897436,0.08
VC387,cla-1(ok618) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035728#03--10,Caenorhabditis Genetics Center,0.117559292932427,0.739761396011396,49.51
VC596,cla-1(gk352) IV.,https://wormbase.org/species/c_elegans/strain/WBStrain00035905#03--10,Caenorhabditis Genetics Center,0.136247657053026,0.695648148148148,49.51
